,LR_prediction,NB_prediction,RF_prediction,TB_prediction,original_sentiment,vader_sentiment,tweet
3072,neutral,positive,neutral,neutral,neutral,neutral,South America vs Everybody #WORLDCUP2022
3073,neutral,positive,negative,negative,negative,positive,So #Qatar had all of their players sit out of league play to train a full year for the world cup... and they still can't connect 3 passes together or have any real pattern play...  #WorldCup #WorldCup2022 #QATvsECU
3074,positive,neutral,neutral,neutral,neutral,neutral,Predicting 2022 World Cup! https://t.co/UQApzeT7iX via @YouTube   #World #Cup #WorldCup #WorldCup2022 #QatarWorldCup2022 #QatarEcuador #goals #Predictions #WorldCupFantasy
3075,positive,negative,neutral,neutral,positive,neutral,Argentina since day 1🇦🇷🤍💙  #worldcup2022 #leomessi #Goat #Argentina #qatar2022 @ Qatar2022 https://t.co/5rCjsnbHWS
3076,positive,negative,positive,negative,neutral,neutral,hey @CNC3TV how much more bootleg can you possibly get? where's the score and clock for the second half? #CNC3 #WORLDCUP #WORLDCUP2022 #WC22 didn't the same thing happen last time?
3077,neutral,positive,positive,neutral,neutral,neutral,"Watch: #Egypt's President Abdel Fattah al-Sisi, and #Turkey's President Recep Tayyip Erdogan arrive in #Qatar for the opening ceremony of #WorldCup2022.  https://t.co/K7L9rXQxTg https://t.co/CC8NLmvB1C"
3078,positive,neutral,negative,neutral,neutral,neutral,Need 20 run in last over #ipl #IPLAuction #WorldCup2022 #SanjuSamson #SuryakumarYadav
3079,neutral,neutral,positive,positive,neutral,positive,Betting has never been better With Coral  1. New Customers 2. Place £€5 bet on any market 3. Free bets paid as 4x £€5 Coral Link Below https://t.co/1Di5RX247L  . 18+T&amp;Cs GambleAwear #WorldcupQatar2022 #WCIxFootball  #sportsbetting #WorldCup2022 #gamblingtwitter #HorseRacing;8 https://t.co/pHRNU5JX8V
3080,positive,neutral,positive,negative,negative,positive,#JioCinema @JioCinema @reliancejio Please fix it ASAP ! DONT RUIN OUR #WorldCup2022
3081,neutral,positive,neutral,positive,positive,positive,"The World Cup prize pool already has 13763.88 USDT. After the first match, it will be settled. The result of your quiz will be announced soon. I wish you a big prize. https://t.co/RO5YN5lEEC #BetBOOM #WorldCup2022 #WorldCup #Qatar #Ecuador #EcuadorvsQatar https://t.co/vr7w4gIlLb"
3082,neutral,positive,positive,neutral,positive,positive,Qatar started the 2nd a bit more lively! How many sheiks do you figure went into the dressing room and how many kicked the trash can!! 🧐😂🤣⚽  #CFMTL.   #WorldCup2022
3083,neutral,neutral,negative,neutral,negative,positive,Twitter is great because without it I wouldn't have learned that there's a World Cup Soccer in Qatar that I'm still not going to watch or pay attention to for even 30 seconds #WorldCup2022 #WorldCup #Twittershutdown
3084,positive,negative,neutral,negative,negative,negative,"Qatar built the best stadiums in the world, but doesn't have a footballing team. So ridiculous 😣😭😭😭 #WorldCup2022 #QatarEcuador https://t.co/ELhiFPUTVF"
3085,neutral,negative,positive,negative,negative,positive,It’s pretty easy to boycott the #WorldCup2022 when you weren’t going to watch it anyways.
3086,neutral,negative,neutral,negative,positive,positive,"@JioCinema app, what a lovely way to watch the #Football  #WorldCup2022 in India.  Pixel by Pixel !   Thank you for being the worst sports service provider in #India !   Every #soccer fan is absolutely elated to see your level of broadcast! Bravo ! https://t.co/0NTdz7f8bf"
3087,negative,positive,negative,positive,positive,positive,#QatarWorldCup2022 🇶🇦🏆Let go what a  time to be alive #WorldCup2022 still waving the 🇳🇬 flag #Mille https://t.co/62zKSAE0q7
3088,negative,neutral,neutral,neutral,neutral,neutral,Chad Enner Valencia at the first half  #Worldcup2022 https://t.co/0xITnLW9IU
3089,neutral,positive,positive,neutral,positive,neutral,To world cup 🇧🇷✈️#FIFAWorldCup #qatar #worldcup2022 #barazil #fifa22 #football #goodvibes https://t.co/idOCZKQ3nh
3090,positive,positive,neutral,negative,negative,negative,Sooo… boring… so I sacked it off and went to the shops 😂 #WorldCup2022
3091,positive,negative,neutral,neutral,neutral,neutral,Today world would have realized Ambani can fix only IPL matches against CSK and not buffering issues in his app😌  #FIFAWorldCup #Ambani #JioCinema #FIFAWorldCuponFOX #WorldCup #WorldCup2022  #IPL2023 #IPLAuction https://t.co/ykS3NL9wqa
3092,neutral,negative,neutral,positive,positive,positive,"@brfootball He's great! More to await from him!  Btw, we're holding #RoadtoQatar2022 with rewards of 10.000$ for #everyone to enjoy our game in the #WorldCup2022 atmosphere 🐍  Great to have you all play our game for free &amp; collect national flags to claim rewards now: https://t.co/x19o8O7bMh"
3093,negative,positive,positive,neutral,neutral,neutral,Sony LIV product managers to Jio Cinema staff right now #buffering #WorldCup2022 https://t.co/FWXl7CT6AY
3094,positive,positive,positive,neutral,positive,positive,"@JohnMcMah0n Thanks for your #WorldCup2022 #RequestABet. We've passed this on to our traders and will be in touch if a price can be offered.  Due to high volumes, not all requests can be priced, we would advise checking those available on site here &gt; https://t.co/VfJs5uGSH2 https://t.co/7w60TGd02T"
3095,negative,neutral,positive,neutral,positive,positive,Feels like watching a movie 🔥  #MasyaaAllah 😇 #PialaDunia2022  #WorldCup2022 https://t.co/thEi88IBRR
3096,neutral,neutral,positive,neutral,positive,positive,#WorldCup2022 to spread the message of Islam.Sayings of Prophet said in every corner promoting the beauty of Islam.Hotel rooms have a barcode that introduces the teachings of Islam.Qtr Guest Center are preparing a team of 2tds ppl to call to https://t.co/G5WxLzcSUV place prayer. https://t.co/yldjx5ymKN
3097,positive,positive,positive,positive,positive,positive,World Cup fever is officially here.   We’re tuning in to watch the world’s best players compete for glory! Who do you think will win the World Cup? #WorldCup2022 https://t.co/dle2OSFDcx
3098,positive,negative,negative,neutral,neutral,positive,Free WC Cups @hillstationhillcrest #worldcup2022 @ Hill Station https://t.co/9DH65QMYH4
3099,positive,neutral,positive,neutral,neutral,positive,"#WorldCup2022 has been seen as part of a nation-building strategy by Qatar and their team has also been built through granting citizenship to players born elsewhere. Although 10 of the squad are naturalised, the majority (14) are Qatar-born plus 2 others grew up there."
3100,negative,neutral,neutral,neutral,positive,neutral,Back to my old ways- watching the #WorldCup2022 on @elonmusk’s Twitter. #LetsGetIt #Ecuador Gimmie 2 more! 😆 #QatarvsEcuador
3101,neutral,neutral,negative,neutral,neutral,neutral,Second half underway  Qatar 🇶🇦 0-2 Ecuador  Here we go  #FIFAWorldCup #worldcup2022
3102,positive,neutral,negative,neutral,positive,neutral,Qatar World cup 2022 opening ceremony 😍 #Qatar2022 #WorldCup2022 https://t.co/q0qUSfJiBj
3103,neutral,positive,neutral,neutral,neutral,positive,#WorldCup2022 #WorldcupQatar2022 Supporting #Qatar.  t.
3104,positive,positive,negative,positive,positive,neutral,@FOXSoccer @USMNT Let’s go! 💪🏾⚽️🇺🇸 #WorldCup2022 #TeamUSA https://t.co/wBWg39m8Bc
3105,negative,negative,positive,negative,negative,negative,#Qatar #Worldcup2022 oh look it’s the UK exploiting Thai workers #humanrights  those in glass houses really shouldn’t throw stones https://t.co/PMn6QbnjJg
3106,neutral,positive,neutral,negative,negative,positive,"Did not grow up with any affection for soccer. Now I cannot imagine not being riveted to #WorldCup2022 On this Grey Cup Sunday, makes me wonder how Cdn football 🏈 will be able to compete with Soccer in Canada’s biggest population centres."
3107,neutral,positive,positive,neutral,neutral,neutral,Are you watching the opening game? Keep an eye out for our World Cup promotion over the next few weeks ⚽🏆  #WorldCup2022 #Qatar2022 #offside #VAR https://t.co/dN5mTqkExx
3108,neutral,positive,positive,negative,negative,positive,@JioCinema sucks to the core💩 @DisneyPlusHS would have been way way better!  #WorldCup2022 #FIFAWorldCup
3109,positive,neutral,neutral,negative,negative,negative,Damn I at least would’ve thought 1-1. Should be 3-0. What a game. #WorldCup2022
3110,neutral,negative,negative,neutral,neutral,neutral,A Qatari man distributes pro-Palestine armbands before the start of #WorldCup2022.  #RaisePalestineFlag https://t.co/V4FuDOOjs9
3111,positive,neutral,negative,positive,positive,positive,"@PeninsulaQatar Amazing opening!   Great to have you &amp; the community join our #Roadtoqatar2022 event, where you can earn 10.000$ by playing our game unlimited for free &amp; collect national flags in #worldcup2022 to claim the prize: https://t.co/2wzR4Rmt6U"
3112,positive,positive,positive,positive,neutral,positive,The biggest soccer tournament ⚽ in the world kicks off today...and no one asked us to host some games in Little Cities 😢  LOOK at how much cooler it'd be here (and everyone's welcome) 👀  Kick-off your city 👉 https://t.co/fOCVC8hm5T  #VR #WorldCup2022 https://t.co/BgtJFoqbJo
3113,positive,neutral,positive,positive,positive,positive,Best of luck to our Americas teams in the World Cup!   #WorldCup #worldcup2022 https://t.co/btGXzRLwdJ
3114,negative,positive,negative,neutral,neutral,positive,Okay I was recording a podcast during the first half but I’m here now #WorldCup2022 #QATvsECU
3115,negative,positive,neutral,positive,positive,positive,"@TataPlayin is the best. I can watch anytime, anywhere on my mobile. #WorldCup2022 #equador 😃"
3116,positive,negative,neutral,neutral,neutral,neutral,"If I'm Ecuador, I look to counterattack early and often, assuming Qatar manages to keep possession  #WorldCup #WorldCup2022 #QatarWorldCup2022 #EcuadorvsQatar"
3117,positive,neutral,positive,neutral,positive,neutral,Qatari man distributes Pro-Palestine armbands and scarfs ahead of the start of #WorldCup2022 in #Qatar 🇵🇸❤️🇶🇦 https://t.co/uxdG9vxOFY
3118,positive,positive,negative,neutral,neutral,neutral,Second half live https://t.co/LbCBBIHIAe #fifa #WorldCup #WorldCup2022  #FIFAWorldCup #Ecuador #EcuadorvsQatar #QatarWorldCup2022 #Qatar #QatarWorldCup #QatarEcuador #QatarvsEcuador
3119,positive,negative,neutral,positive,positive,positive,Ahem.. Best coverage of #WorldCup2022 is clearly on @fox13seattle https://t.co/xznrIGEls0
3120,neutral,neutral,neutral,positive,neutral,positive,"#WorldCup2022  #inclusion  #openingceremony  Morgan Freeman and Qatari businessman Ghanim Al Muftah, who has a disability. ""What unites us is greater than what divides us. We are one big tribe and the Earth is our tent.  Let the tournament begin!"
3121,positive,positive,negative,neutral,neutral,negative,"Only a 2 game slate for hockey 🏒 today, need something else to bet on? We’ll come join us at @XXXMEEZY @MPicksSupport discord and start betting on these #WorldCup #WorldCup2022 games now with us #GamblingTwitter link is in my bio"
3122,neutral,neutral,neutral,positive,positive,positive,So glad my kids are home for Thanksgiving and we get to watch the World Cup together over the break! #worldcup2022 #family https://t.co/OqO8JTiVf8
3123,positive,neutral,negative,neutral,positive,positive,.@EnnerValencia14 rolling all of Qatar himself is *chef’s kiss*  #FIFAWorldCup  #WorldCup #WorldCup2022 #LaTri  #Ecuador
3124,neutral,negative,negative,neutral,neutral,neutral,How many of u thought Qatar can turn the table in second half.. #QatarWorldCup2022 #FIFAWorldCup #WorldCup2022
3125,neutral,positive,positive,negative,negative,negative,VAR is killing the game of football. #QatarWorldCup2022 #WorldCup2022 #EcuadorvsQatar #ECUQAT
3126,neutral,positive,positive,neutral,neutral,negative,"Enner Valencia scores twice, one from the penalty spot, as Ecuador cruise into a 2-0 half-time lead.   #EnnerValencia #Qatar #Ecuador #Équateur #FIFA #worldcup2022 #sports #WorldCupQatar2022 #world #goal #regs #facebookfootball #WorldCupOpeningMatch https://t.co/RVrL9Qpukb"
3127,neutral,negative,neutral,positive,positive,positive,Netherlands 🇳🇱 vs Qatar 🇶🇦 should be a fun one 😆 #WorldCup2022
3128,neutral,positive,neutral,positive,neutral,positive,Qatar needs a goal in the opening 15 minutes of the half to make things interesting #WorldCup #WorldCup2022 #QatarWorldCup2022 #EcuadorvsQatar
3129,negative,negative,positive,positive,positive,positive,"🎶Look who we are, we are the dreamers We’ll make it happen ’cause we believe it🎶  Banger😍😍 World Cup 2022 = Best Thanks idolo Jungkook for the masterpiece.   #Jungkook #BTS #WorldCup2022 #DreamersbyJungkook #Dreamers2022 #JungkookAtFIFAWorldCup https://t.co/g9gHY2BjF7"
3130,neutral,negative,neutral,neutral,positive,positive,"@Luke__88 Thanks for your #WorldCup2022 #RequestABet. We've passed this on to our traders and will be in touch if a price can be offered.  Due to high volumes, not all requests can be priced, we would advise checking those available on site here &gt; https://t.co/VfJs5uYtyA https://t.co/Re8Y9xYbth"
3131,positive,positive,positive,positive,positive,positive,"POWER!  POWERFUL!  BREATHTAKING!   Pretty much sums up this moment, this picture!   #JungkookAtFIFAWorldCup  #DreamersbyJungkook #WorldCup2022 #JungKook https://t.co/r4P47Hc06e"
3132,positive,negative,positive,neutral,neutral,neutral,The film-craft though #FIFAWorldCup #WorldCup2022
3133,positive,positive,negative,neutral,neutral,negative,The Falcon wasn’t wrong…. #WorldCup2022 #Qatar https://t.co/fsKgka8DZj
3134,positive,neutral,neutral,negative,negative,positive,Pretty sad how we all laugh at the open display of bribery at the #WorldCup2022  The purity of sport is lost forever
3135,positive,positive,positive,neutral,positive,positive,The hosts of a World Cup have never not won a game in the tournament. Think it's safe to say there's a very high possibility it will happen this year in Qatar #WorldCup2022 ⚽️
3136,negative,positive,positive,positive,positive,neutral,...and we are underway for the final 45min. Can #Qatar do a miraculous comeback!?  #WorldCup2022 #QatarWorldCup #BongobongoUG
3137,neutral,positive,positive,neutral,neutral,negative,"Enner Valencia scores twice, one from the penalty spot, as Ecuador cruise into a 2-0 half-time lead.   #EnnerValencia #Qatar #Ecuador #Équateur #FIFA #worldcup2022 #sports #WorldCupQatar2022 #world #goal #regs #facebookfootball #WorldCupOpeningMatch #link…https://t.co/pXOqX9WLvC"
3138,positive,positive,negative,neutral,neutral,neutral,Valencia still in at the start of the 2nd half. #WorldCup2022 https://t.co/l5lCHj9Sou
3139,neutral,negative,positive,positive,neutral,positive,Stat of the day: Hosts have never lost the opening game of a World Cup Tournament. Could that be about to change? #WorldCup2022
3140,negative,neutral,positive,neutral,negative,negative,Qatar is getting CRUSHED in this game😵😂🤦‍♂️ Vamos ECUADOR! #WorldCup2022 #QatarvsEcuador https://t.co/DJxDOZmFMW
3141,positive,positive,neutral,neutral,neutral,neutral,"BREAKING  ‘46: Qatar make a change, a relative unknown  Muhammad Erling Al-Haaland comes in up front for the hosts to start the second half  #WorldCup #WorldCup2022 #QATECU"
3142,neutral,positive,positive,neutral,neutral,neutral,There must only be this one #WorldCup2022 game today if it is 8pm there already eh
3143,positive,negative,positive,neutral,neutral,neutral,🏆 WORLD CUP || MONDAY 21ST NOV. 🏆  ⚽️ ENGLAND VS IRAN || 1PM ⚽️ ⚽️ SENEGAL VS NETHERLANDS || 4PM ⚽️ ⚽️ USA VS WALES || 7PM ⚽️  #football #worldcup #WorldCup2022 #Qatar2022 #Qatarworldcup2022 #worldfootball #Rhyl #northwales #keepingirhyl https://t.co/ml4hef5os1
3144,neutral,positive,neutral,neutral,neutral,neutral,Its not quite the #FIFAWorldCup   But it'll do 🤷‍♂️🥳🤷‍♂️  #FIFAWorldCup2022 #WorldCup2022  #ItsComingHome #ThreeLions  #WWE  #WWERaw  #Smackdown #WWENXT   #WrestlingCommunity https://t.co/p3iv6osc0E
3145,positive,neutral,negative,positive,positive,neutral,Ecuador take a two-goal lead into the break! 👏  #QAT  #ECU   #FIFAWorldCup #WorldCup2022 #Qatar2022 #QatarWorldCup @QFA_EN @Ecuador #ECU https://t.co/bAFfG83vl2
3146,positive,neutral,neutral,positive,positive,negative,Glad to see Valencia back on the pitch. It looked scary at the final minutes of the first half.   #WorldCup2022
3147,neutral,negative,positive,neutral,negative,neutral,https://t.co/699Z4tF1re  Next one should be in North Korea @FIFAcom !!  @FIFAWorldCup #FIFAWorldCup #WorldCup2022 #BoycottQatar2022
3148,positive,negative,neutral,neutral,positive,neutral,When Football meets Cinema. 😍❤️  @kinopoiskru   #WorldCup2022 #WorldCup #FIFAWorldCup #FIFA #WorldcupQatar2022 #kinopoisk #FIFAJUNGKOOK #FIFAWorldCuplive https://t.co/onndBVvezb
3149,positive,negative,neutral,neutral,negative,negative,@EnnerValencia14 was denied a hwad goal but not a leg goal afterwards he Gifts a Head goal to mock the VAR #QatarWorldCup2022 #WorldCup2022 #WorldcupQatar2022
3150,negative,positive,positive,negative,negative,neutral,Not watching the #WorldCup2022 only because of #pathetic #buffering of @JioCinema
3151,neutral,positive,positive,neutral,neutral,neutral,And they're off in the 2nd half #WorldCup #WorldCup2022 #QatarWorldCup2022 #EcuadorvsQatar
3152,neutral,positive,neutral,neutral,neutral,negative,"All the #Ecuador bettors are chilling right now due to our Half Time Lead Insurance 😎  All #WorldCup2022 If your 1x2 selection is leading at Half Time but go on to draw or lose the match, we’ll refund your bet up to $250  Full Details 👉🏻 https://t.co/bq8m5vSHIp https://t.co/EpRoj6ZDlG"
3153,positive,positive,neutral,positive,neutral,neutral,The Most Coveted Event Is Here.. Livestream Qatar vs Ecuador!!! Ecuador Leads After Having A Goal Chalked Off by VAR  #WorldCup2022 https://t.co/h9yrsPy38N
3154,positive,neutral,negative,negative,negative,positive,"So far, not even the memes are funny in this opening of the #WorldCup2022 🤯😪😭😭😭😭"
3155,positive,negative,negative,negative,negative,positive,Guys save yourself from @JioCinema crap and shift to. @voot MTV HD LIVE.. #jiocinemaisacrap #WorldCup2022 #FIFAWorldCup https://t.co/Bmpy1optl2
3156,negative,positive,positive,neutral,neutral,neutral,Qatar goalkeeper against Ecuador  #QatarWorldCup2022 #Qatar #WorldCup #WorldCup2022 #ennervalencia𓃵 https://t.co/8rIQ1bmRZq
3157,neutral,negative,neutral,negative,negative,positive,"Please fix your application, Mr Ambani. Or let @elonmusk buy your thing and fire your team. Pls don't mess with our world cup.  @JioCinema #JioCinema #WorldCup2022 @reliancejio"
3158,neutral,negative,neutral,neutral,neutral,neutral,Watching the World Cup #WorldCup2022
3159,positive,positive,negative,neutral,neutral,neutral,They should have appointed Carlos Queiroz years ago to build them a team for #WorldCup2022.
3160,positive,negative,neutral,negative,negative,negative,Let's go #Ecuador! We want 10! Absolutely obliterate #Qatar. Punish the players and the entire country for its backwards autocratic theocratic ways.  #QATECU #WorldCup2022 #WorldCup #FIFAWorldCup #FuckFIFA
3161,neutral,negative,positive,positive,neutral,neutral,Its time for world cup #WorldCup #WorldCup2022 #WorldcupQatar2022 #QatarWorldCup2022 #Qatar
3162,negative,neutral,positive,negative,negative,positive,Hopefully @reliancejio will get their act together and correct the glitches with the feed of the #WorldCup2022 matches. One channel has no commentary. The other one is like watching a movie on a dial up Internet connection from 20 years ago.
3163,neutral,positive,positive,positive,positive,positive,@SuperSportTV @DStv . Wow the 4k broadcast of the opening game of the #WorldCup2022 is amazing.  Can't wait to watch #EPL and @OfficialPSL games in 4k
3164,negative,neutral,negative,neutral,neutral,positive,Football fan raises the Palestinian flag during the first match of #WorldCup2022 in Qatar 🇵🇸 https://t.co/AHxt0ZzTO9
3165,positive,neutral,neutral,positive,positive,negative,"1st 45 weren’t disappointing! Besides that spirit crushing offsides call, it was exciting! Started out like an alley fight! 👊🏼 ⚽️ #FIFAWorldCup #QatarWorldCup2022 #WorldCup2022"
3166,neutral,negative,positive,negative,negative,negative,@JioCinema What's the point of being owned by one of the richest man in the world when your service is poorest!  #JioCinema #FIFAWorldCup #FIFA #WorldCup #WorldCup2022
3167,positive,neutral,positive,neutral,neutral,positive,"Hey @JioCinema! If a lot of us (like a million people) promise to watch some other programming on your app for two hours every day, would you give the #WorldCup2022 rights to Hotstar or Prime or any other app that was designed to actually live stream stuff without buffering?"
3168,neutral,neutral,neutral,neutral,positive,positive,".@TrinidadCMusic, Davido  &amp; @aishaofcl “Hayya Hayya(Better Together)” extend current chart to 165 cities on Shazam Chart  It has Charted in over 557 Cities over all. 🥵🤯🥵🤯🥵🎶💣🔥💯  #DavidoQatar2022   #worldcup #worldwide #world #worldwideshipping #WorldCup2022 #women https://t.co/lrhlb2UrZ7"
3169,neutral,positive,neutral,neutral,positive,neutral,And the World Cup has begun 🤩🤩 #WorldCup2022
3170,negative,negative,neutral,negative,negative,neutral,"I still don’t see the offside call. And if that’s offside, change the rule. #WorldCup2022"
3171,neutral,positive,neutral,neutral,neutral,neutral,Game 1 of the Word Cup #ecuador vs #qatar #fifaworldcup #soccer #football #worldcup2022 #ai #aiart #stablediffusion #diffusionbee https://t.co/RDwLVcvguP
3172,neutral,negative,neutral,neutral,neutral,neutral,Did you @film_tnp20 @RachataJam watch the World Cup opening match together? ⚽🐶🐱 #FilmThanapat #JamRachata #WorldCup2022
3173,positive,negative,positive,negative,neutral,positive,"Honestly I am not protesting World Cup hosting rights given to #Qatar, I really want to protest streaming rights given to #JioCinema   #WorldCup2022"
3174,neutral,negative,neutral,positive,positive,positive,Putting it out there..... Canada is going to surprise and make it outta the groups #WorldCup2022
3175,negative,positive,negative,neutral,neutral,positive,Who is gonna win ? Today  #WorldCup2022 #FIFAWorldCup
3176,positive,neutral,negative,positive,positive,positive,MATCH DAY ⚽️ 🏆The World Cup is Finally Here! Rep your Team Spirit with Fanwear from adidas.   Shop World Cup Fanwear In-Store &amp; Online at https://t.co/O4RtnHj4LW   #worldcup #FIFA #Qatar #worldcup2022 #adidas #adidasapparel #Adidastraining #trainingapparel #SVPSports https://t.co/RHT96nurKX
3177,positive,neutral,negative,neutral,positive,negative,Rob Page must be buzzing! #WorldCup2022
3178,neutral,negative,positive,neutral,positive,neutral,@visitoman_vo Done! 🥳❤️⚽ #HalfTimeForOman #WorldCup2022 @visitoman_vo https://t.co/QicnZT8aPo
3179,negative,negative,neutral,negative,negative,negative,@FS1 what the?? “Tie should go to the runner? I want to see more goals?” Your commentators are shit! Have no idea how this game works with offsides rule. Get your American football commentators away from the TV! #WorldCup2022
3180,positive,positive,neutral,positive,positive,positive,"FIFA world cup in Qanta•Thailand people like https://t.co/hcfJ1w5RTi like FIFA? I love it. I cheers Brazil,England,Portugal and the last one France. i love football. #FIFAWorldCup #FIFA #football #WorldCup2022 #Qantas #ROSTHIPHD_R #YouTube #YouTuber #Thailand #Buy_FIFA_World_Cup"
3181,neutral,positive,positive,neutral,neutral,neutral,This was meant to be for the kids 🤣 #WorldCup2022 https://t.co/VQ3FFtznM1
3182,neutral,negative,positive,negative,negative,positive,"Times like these remind you of the good old DTH channels and the trusty set-top-box.  Where does the endless buffering end? You must do better, @JioCinema!  #WorldCup2022 #buffering #FIFAWorldCup #QatarEcuador"
3183,positive,positive,neutral,negative,negative,negative,@GaryLineker give it a fucking rest. You make it awkward with your woke questioning. Stick to the #Football  #WorldCup #WorldCup2022
3184,neutral,neutral,positive,neutral,positive,neutral,The boss gets everywhere @HasbullaHive   #WorldCup2022 #Cymru #Tenerife https://t.co/nsNK93m75X
3185,neutral,negative,negative,negative,negative,negative,@ladbible Instead of showing World Cup opening ceremony BBC commentators talked about Qatar human rights record including abuses of migrant workers who built the stadiums....  Whilst sat in one of the stadiums migrant workers built. #WorldCup2022
3186,positive,negative,neutral,positive,positive,positive,The passionate heart throbs with emotion with the first game of the World Cup.  Enjoy and make your prediction and have a chance to win a big prize with BitForex.  ⚽️Join now: https://t.co/lng9Triunm  #WorldcupQatar2022 #worldcup2022 #Giveaways https://t.co/ceQyUlveRQ
3187,neutral,neutral,negative,neutral,neutral,neutral,Fixed this Group stages #worldcup2022 #ENS   Game #1: 🇶🇦⚽️.eth  VS  🇪🇨⚽️.eth  #ENSnames #ensdomains #ensdomain #ENSMaxisNFT #ENSMaxis #ensvision https://t.co/3bAZEAYp6f https://t.co/ZoklXVCxXC
3188,positive,positive,negative,neutral,negative,positive,"I'm not saying Qatar is bad, but I would consider betting on the high school my kids attend if they played Qatar. #WorldCup2022 #Qatarsucks #Iamsayingit"
3189,positive,neutral,neutral,negative,negative,neutral,Absolutely diabolical decision-making from a keeper that has been involved in 200+ games in his career. Saad Al Sheeb... #WorldCup #WorldCup2022 https://t.co/xf6Z4qKm2a
3190,neutral,neutral,negative,neutral,neutral,neutral,If you're looking for a stream during the Qatar World Cup  2022 ⚽️⚽️⚽️   @QatarcoinApp #Qatar2022 #FIFAWorldCup2022 #QATECU #WorldCup2022 $QC $WCI $LAEEB $QWC https://t.co/GYV9Ht9Is0
3191,positive,neutral,positive,negative,negative,neutral,Qatar getting whooped! #WorldCup2022
3192,neutral,neutral,neutral,negative,negative,negative,'Offside' in Qatar. What a joke 😆 cheating in front of our very eyes #WorldCup2022 #QatarWorldCup2022
3193,neutral,negative,positive,positive,positive,positive,The Ecuadorian supporters are doing the World proud right now.  #WorldCup2022 #Qatar2022    https://t.co/wkMehBjMeg
3194,positive,neutral,negative,positive,positive,neutral,Goals go plenty for this world cup....#WorldCup2022
3195,neutral,positive,negative,negative,negative,neutral,"Getting battered in the group chat, spent ages bigging up Qatar,saying they’d get out the group etc🥲😐 #worldcup2022 #qatar"
3196,neutral,positive,positive,negative,negative,negative,Now that #WorldCup2022 is underway let me remind you again that it's absolutely insane Las Vegas won't have any #WorldCup2026 matches.
3197,positive,neutral,positive,positive,positive,positive,The @kfc here in Qatar tastes so fresh! I never want to return home to America! #QatarWorldCup2022 #WorldCup2022 #QatarWorldCup #soccer #KFCArabia https://t.co/GpBsSM61Mr
3198,positive,positive,positive,negative,negative,positive,@JioCinema please fixed it....  Your server is very week. We couldn't stream smoothly. #JioCinema #FIFAWorldCup #JioCinema #FIFAWConSports18  #WorldCup2022 https://t.co/zNOQpgBBBn
3199,positive,negative,negative,neutral,positive,positive,"One of top prospect young player and also modern defender, remember the name, Piero Hincapie #WorldCup2022 #EcuadorvsQatar"
3200,positive,neutral,positive,positive,positive,positive,"It's glad to see the Quran recitation at World Cup, but tbh the ceremony was too short.   #WorldCup #WorldCup2022"
3201,positive,negative,positive,negative,neutral,positive,"Can't work out if he's brave or daft, maybe both!   #QATECU #Qatar2022 #WorldCup2022 https://t.co/52IEVvYbPo"
3202,positive,positive,neutral,neutral,neutral,neutral,"Finalised list of #WorldCup2022 pre-tournament outright bets.   Portugal EW, Mbappe &amp; Qatar bottom of group A added. https://t.co/LVZ3DDNREW"
3203,positive,neutral,neutral,positive,positive,neutral,@TopGoal_NFT @BNBCHAIN lettts gooo @RamDarmansyah @Bengetsiarata_ @RayaTriwardana   #TopGoal #BNBChain #WorldCup2022
3204,positive,neutral,positive,negative,negative,negative,Even soundtrack makes it worst 😒😒😒 #WorldCup2022
3205,neutral,negative,negative,positive,positive,positive,"for sure #JungKook went above and beyond at #WorldCup2022 as we all expected. But #MorganFreeman man, that voice."
3206,neutral,neutral,neutral,neutral,neutral,neutral,Qatar investors when Enner Valencia scored the second goal. #FIFAWorldCupQatar2022  #WorldCup2022 https://t.co/EyyAMx9WKq
3207,positive,negative,neutral,neutral,neutral,positive,#footballfood  EASY CHEESY NACHOS  Get the recipe via link - https://t.co/q5mVL1aSR6 #trinicooksrecipes #worldcup2022  #recipes #food #nachos #cheese #trinidadandtobago #caribbean https://t.co/oLqET4taCO
3208,neutral,positive,positive,positive,positive,neutral,"BTS's main vocal JUNGKOOK sang 2022 FIFA World Cup Qatar's official theme song, “Dreamers” at the Al Bayt Stadium, marking the WorldCup's kickoff!✨⚽🏆💜  #BTS #JUNGKOOK #FIFA #WorldCup2022  #قطر #QatarWorldCup2022 #Qatar2022 🇶🇦 ⚽️ https://t.co/XIxHVkzQdb"
3209,positive,negative,neutral,negative,negative,negative,Qatar playing shit like Spurs😂😂😂 #QatarWorldCup2022  #WorldCup2022
3210,positive,neutral,neutral,negative,negative,negative,"All the Qatar hate is because of one thing only really, is not due to their race or culture, so I wonder what else could it be 🤔   There are so many people with hidden agendas and hate but not brave enough to be straight upfront like Trump!  #WorldCupFantasy #WorldCup2022"
3211,neutral,neutral,positive,neutral,neutral,neutral,Enner Valencia has scored Ecuador’s last five World Cup goals:  ▪️ Valencia vs. Switzerland (2014) ▪️ Valencia vs. Honduras (2014) ▪️ Valencia vs. Honduras (2014) ▪️ Valencia vs. Qatar (2022) ▪️ Valencia vs. Qatar (2022)  #FIFAWorldCup #WorldCup2022 #QATECU https://t.co/DhjlJPbOwb
